,Payment_system_provider,Payment_number,date_time,Gross_amount,Net_amount,VAT_amount,Store_name,Status,POS,Quantity,Payment_method,Staff_member,Discount,Membership_number,Payment_Confirmation_Code,Currency,Gateway_Fee,Card_Type,Customer_Segment,Card_ID,Location,Loyalty_Points,Refund_Eligibility,Week_day
10,WorldPay,PMT5585,01/09/2024 12:17,144.99,120.83,24.16,Zara,Completed,POS2,2,Credit Card,Staff4,0,MEM00000,CONF43573,GBP,4.16,Visa,New Customer,CARD4296,London,0,Eligible,7
11,Shopify,PMT6413,01/09/2024 12:32,196.98,164.15,32.83,Zara,Completed,POS2,3,Cash,Staff2,0,MEM00000,CONF33675,GBP,3.93,Discover,Returning Customer,N/A,London,0,Eligible,7
12,Shopify,PMT3165,01/09/2024 12:42,179,149.17,29.83,Zara,Completed,POS2,1,Online,Staff2,0,MEM00000,CONF24788,GBP,3.02,Discover,Returning Customer,N/A,London,0,Eligible,7
13,Shopify,PMT6471,01/09/2024 12:54,600.99,500.83,100.16,Zara,Completed,POS1,3,Cash,Staff1,0,MEM00000,CONF43360,GBP,15.02,Discover,Returning Customer,N/A,London,0,Eligible,7
14,Braintree,PMT4487,01/09/2024 13:05,271.98,226.65,45.33,Zara,Completed,POS2,3,Cash,Staff1,0,MEM00000,CONF33377,GBP,4.82,MasterCard,Returning Customer,N/A,London,0,Eligible,7
15,Shopify,PMT5390,01/09/2024 13:19,468.99,390.83,78.16,Zara,Completed,POS1,2,Cash,Staff1,0,MEM00000,CONF86266,GBP,9.59,Visa,Returning Customer,N/A,London,0,Eligible,7
16,Shopify,PMT4189,01/09/2024 13:30,238.99,199.16,39.83,Zara,Cancelled,POS1,2,Debit Card,Staff1,0,MEM00000,CONF65262,GBP,2.77,Amex,New Customer,CARD3059,London,0,Eligible,7
17,Braintree,PMT7832,01/09/2024 13:45,139.98,116.65,23.33,Zara,Completed,POS1,2,Credit Card,Staff3,0,MEM00000,CONF16428,GBP,3.51,Discover,New Customer,CARD7522,London,0,Eligible,7
18,WorldPay,PMT3725,01/09/2024 13:55,69.99,58.32,11.67,Zara,Completed,POS1,1,Credit Card,Staff1,0,MEM00000,CONF49089,GBP,1.34,Amex,New Customer,CARD9593,London,0,Eligible,7
19,WorldPay,PMT9431,01/09/2024 14:06,79.98,66.65,13.33,Zara,Completed,POS1,2,Credit Card,Staff3,0,MEM00000,CONF68755,GBP,0.97,Amex,New Customer,CARD3604,London,0,Eligible,7
20,Shopify,PMT4867,01/09/2024 14:18,126.99,105.83,21.16,Zara,Completed,POS1,2,Cash,Staff4,0,MEM00000,CONF56889,GBP,1.97,Amex,New Customer,N/A,London,0,Eligible,7
21,Shopify,PMT1125,01/09/2024 14:28,69.99,58.32,11.67,Zara,Completed,POS3,1,Credit Card,Staff1,5,MEM79100,CONF13945,GBP,1.54,Amex,Member,CARD8681,London,5,Eligible,7
22,WorldPay,PMT2857,01/09/2024 14:41,260.99,217.49,43.5,Zara,Completed,POS1,3,Credit Card,Staff3,0,MEM00000,CONF71183,GBP,5.94,Visa,New Customer,CARD7000,London,0,Eligible,7
23,Braintree,PMT9707,01/09/2024 14:52,127.97,106.64,21.33,Zara,Completed,POS2,3,Credit Card,Staff3,0,MEM00000,CONF80820,GBP,3.53,Amex,New Customer,CARD7610,London,0,Eligible,7
24,Shopify,PMT1486,01/09/2024 15:04,169.98,141.65,28.33,Zara,Completed,POS1,2,Credit Card,Staff1,0,MEM00000,CONF22374,GBP,3.23,Visa,New Customer,CARD3757,London,0,Eligible,7
25,Braintree,PMT8898,01/09/2024 15:17,498.98,415.82,83.16,Zara,Completed,POS1,3,Cash,Staff1,0,MEM00000,CONF61967,GBP,10.77,Amex,Returning Customer,N/A,London,0,Eligible,7
26,Shopify,PMT4970,01/09/2024 15:27,434.99,362.49,72.5,Zara,Completed,POS3,2,Credit Card,Staff2,0,MEM00000,CONF93530,GBP,12.38,Discover,New Customer,CARD5700,London,0,Eligible,7
27,Shopify,PMT1219,01/09/2024 15:39,179.98,149.98,30,Zara,Completed,POS2,2,Credit Card,Staff2,0,MEM00000,CONF69690,GBP,3.86,Visa,New Customer,CARD1128,London,0,Eligible,7
28,Shopify,PMT9135,01/09/2024 15:51,507,422.5,84.5,Zara,Completed,POS1,3,Cash,Staff2,0,MEM00000,CONF48204,GBP,14.64,Visa,New Customer,N/A,London,0,Eligible,7
29,Shopify,PMT3075,01/09/2024 16:01,244.98,204.15,40.83,Zara,Completed,POS2,3,Cash,Staff4,0,MEM00000,CONF75427,GBP,2.62,MasterCard,New Customer,N/A,London,0,Eligible,7
30,Braintree,PMT9397,01/09/2024 16:13,185.97,154.97,31,Zara,Completed,POS1,3,Cash,Staff1,0,MEM00000,CONF67799,GBP,4.34,Amex,New Customer,N/A,London,0,Eligible,7
31,Braintree,PMT1706,01/09/2024 16:28,387,322.5,64.5,Zara,Completed,POS2,3,Online,Staff1,0,MEM00000,CONF62759,GBP,8.84,Discover,New Customer,N/A,London,0,Eligible,7
32,Shopify,PMT1880,01/09/2024 16:41,55.98,46.65,9.33,Zara,Completed,POS3,2,Credit Card,Staff3,0,MEM00000,CONF39433,GBP,0.94,Visa,New Customer,CARD7189,London,0,Eligible,7
33,WorldPay,PMT5636,01/09/2024 16:56,189.98,158.32,31.66,Zara,Completed,POS1,3,Online,Staff3,0,MEM00000,CONF73153,GBP,5.3,Discover,New Customer,N/A,London,0,Eligible,7
34,WorldPay,PMT2604,01/09/2024 17:08,149,124.17,24.83,Zara,Completed,POS1,1,Cash,Staff1,0,MEM00000,CONF32198,GBP,2.7,Amex,Returning Customer,N/A,London,0,Eligible,7
35,WorldPay,PMT2693,01/09/2024 17:13,578,481.67,96.33,Zara,Completed,POS3,2,Online,Staff3,0,MEM00000,CONF71627,GBP,13.98,Discover,Returning Customer,N/A,London,0,Eligible,7
36,WorldPay,PMT1962,01/09/2024 17:19,283.99,236.66,47.33,Zara,Completed,POS1,3,Cash,Staff3,0,MEM00000,CONF28992,GBP,7.93,Discover,Returning Customer,N/A,London,0,Eligible,7
37,Braintree,PMT4976,01/09/2024 17:29,17.99,14.99,3,Zara,Completed,POS1,1,Cash,Staff1,5,MEM57467,CONF18049,GBP,0.2,Visa,Member,N/A,London,1,Eligible,7
38,Shopify,PMT6288,01/09/2024 17:34,399,332.5,66.5,Zara,Completed,POS1,1,Credit Card,Staff4,0,MEM00000,CONF55808,GBP,8.71,Amex,New Customer,CARD6208,London,0,Eligible,7
39,Shopify,PMT5440,01/09/2024 17:39,498.98,415.82,83.16,Zara,Completed,POS2,3,Cash,Staff2,0,MEM00000,CONF40438,GBP,13.54,MasterCard,New Customer,N/A,London,0,Eligible,7
40,Braintree,PMT4473,01/09/2024 17:48,119.98,99.98,20,Zara,Completed,POS2,2,Online,Staff1,0,MEM00000,CONF57735,GBP,2.53,MasterCard,Returning Customer,N/A,London,0,Eligible,7
41,WorldPay,PMT9489,01/09/2024 17:58,179,149.17,29.83,Zara,Completed,POS2,1,Cash,Staff4,0,MEM00000,CONF14914,GBP,4.27,Amex,Returning Customer,N/A,London,0,Eligible,7
42,WorldPay,PMT5531,01/09/2024 18:07,45.99,38.33,7.66,Zara,Completed,POS3,1,Debit Card,Staff1,0,MEM00000,CONF40468,GBP,0.75,Visa,New Customer,CARD6396,London,0,Eligible,7
43,Shopify,PMT8906,01/09/2024 18:16,189.98,158.32,31.66,Zara,Completed,POS3,3,Credit Card,Staff1,5,MEM13359,CONF16971,GBP,2.12,MasterCard,Member,CARD2292,London,15,Eligible,7
44,WorldPay,PMT9041,01/09/2024 18:23,238.98,199.15,39.83,Zara,Completed,POS2,3,Cash,Staff1,0,MEM00000,CONF78858,GBP,5.91,Discover,New Customer,N/A,London,0,Eligible,7
45,Braintree,PMT7514,01/09/2024 18:33,59.99,49.99,10,Zara,Completed,POS1,1,Credit Card,Staff2,0,MEM00000,CONF68439,GBP,1.38,Amex,New Customer,CARD7709,London,0,Eligible,7
46,Braintree,PMT6842,01/09/2024 18:42,229,190.83,38.17,Zara,Completed,POS1,1,Cash,Staff1,0,MEM00000,CONF58090,GBP,5.78,MasterCard,Returning Customer,N/A,London,0,Eligible,7
47,WorldPay,PMT4745,01/09/2024 18:49,149,124.17,24.83,Zara,Completed,POS3,1,Credit Card,Staff3,0,MEM00000,CONF84043,GBP,3.81,MasterCard,New Customer,CARD8491,London,0,Eligible,7
48,Shopify,PMT2284,01/09/2024 18:59,208.98,174.15,34.83,Zara,Completed,POS1,3,Credit Card,Staff4,0,MEM00000,CONF24973,GBP,5.16,MasterCard,New Customer,CARD8391,London,0,Eligible,7
49,WorldPay,PMT7527,01/09/2024 19:08,102.98,85.82,17.16,Zara,Completed,POS1,2,Debit Card,Staff3,0,MEM92216,CONF12876,GBP,3.01,Amex,Member,CARD7388,London,8,Eligible,7
50,Braintree,PMT3584,01/09/2024 19:15,623.99,519.99,104,Zara,Completed,POS1,3,Cash,Staff3,5,MEM10557,CONF80881,GBP,12.16,Visa,Member,N/A,London,51,Eligible,7
51,WorldPay,PMT1109,01/09/2024 19:22,125.98,104.98,21,Zara,Completed,POS2,2,Cash,Staff3,0,MEM00000,CONF19010,GBP,3.44,MasterCard,New Customer,N/A,London,0,Eligible,7
52,Braintree,PMT9091,01/09/2024 19:28,215.97,179.97,36,Zara,Completed,POS2,3,Cash,Staff2,0,MEM00000,CONF87621,GBP,3.27,Discover,New Customer,N/A,London,0,Eligible,7
53,WorldPay,PMT9077,01/09/2024 19:34,89.99,74.99,15,Zara,Completed,POS3,1,Credit Card,Staff3,0,MEM00000,CONF72862,GBP,2.06,Discover,New Customer,CARD4218,London,0,Eligible,7
54,WorldPay,PMT1946,01/09/2024 19:43,19.99,16.66,3.33,Zara,Completed,POS3,1,Online,Staff4,5,MEM23529,CONF11488,GBP,0.31,Amex,Member,N/A,London,1,Eligible,7
55,Shopify,PMT6072,01/09/2024 19:48,125.97,104.98,20.99,Zara,Completed,POS3,3,Cash,Staff2,0,MEM00000,CONF95589,GBP,3.17,Amex,Returning Customer,N/A,London,0,Eligible,7
56,Shopify,PMT3100,01/09/2024 19:56,578,481.67,96.33,Zara,Completed,POS1,2,Online,Staff2,0,MEM00000,CONF56902,GBP,10.22,Discover,New Customer,N/A,London,0,Eligible,7
57,WorldPay,PMT2657,01/09/2024 20:03,32.98,27.48,5.5,Zara,Completed,POS3,2,Cash,Staff1,15,MEM85596,CONF15513,GBP,0.39,Amex,Member,N/A,London,2,Eligible,7
58,WorldPay,PMT8393,01/09/2024 20:09,298.99,249.16,49.83,Zara,Completed,POS2,2,Cash,Staff2,5,MEM11403,CONF22051,GBP,6.7,Visa,Member,N/A,London,24,Eligible,7
59,Braintree,PMT8159,01/09/2024 20:17,59.99,49.99,10,Zara,Completed,POS2,1,Credit Card,Staff4,0,MEM00000,CONF10492,GBP,1.56,Discover,New Customer,CARD1364,London,0,Eligible,7
60,WorldPay,PMT6681,01/09/2024 20:27,62.97,52.48,10.49,Zara,Completed,POS1,3,Credit Card,Staff1,0,MEM00000,CONF34267,GBP,0.99,Visa,New Customer,CARD5217,London,0,Eligible,7
61,WorldPay,PMT3741,01/09/2024 20:36,109,90.83,18.17,Zara,Completed,POS3,1,Credit Card,Staff3,0,MEM00000,CONF89579,GBP,3.27,MasterCard,New Customer,CARD3376,London,0,Eligible,7
62,Braintree,PMT2234,01/09/2024 20:45,508,423.33,84.67,Zara,Completed,POS3,2,Cash,Staff2,0,MEM00000,CONF16687,GBP,8.78,Visa,Returning Customer,N/A,London,0,Eligible,7
63,WorldPay,PMT9782,01/09/2024 20:52,224.98,187.48,37.5,Zara,Completed,POS1,3,Cash,Staff2,0,MEM00000,CONF31237,GBP,5.18,MasterCard,New Customer,N/A,London,0,Eligible,7
64,WorldPay,PMT9013,01/09/2024 20:59,141.97,118.31,23.66,Zara,Completed,POS3,3,Cash,Staff1,10,MEM26405,CONF86613,GBP,3.14,Visa,Member,N/A,London,11,Eligible,7
65,WorldPay,PMT4492,01/09/2024 21:07,89.98,74.98,15,Zara,Completed,POS1,2,Cash,Staff2,5,MEM51620,CONF28841,GBP,2.14,Amex,Member,N/A,London,7,Eligible,7
66,WorldPay,PMT4529,01/09/2024 21:12,280.99,234.16,46.83,Zara,Completed,POS1,3,Cash,Staff2,0,MEM00000,CONF42454,GBP,4.14,MasterCard,New Customer,N/A,London,0,Eligible,7
67,Shopify,PMT3062,01/09/2024 21:22,9.99,8.33,1.66,Zara,Completed,POS1,1,Credit Card,Staff3,0,MEM00000,CONF62664,GBP,0.14,Discover,New Customer,CARD9134,London,0,Eligible,7
68,Shopify,PMT2654,01/09/2024 21:31,119,99.17,19.83,Zara,Completed,POS1,1,Debit Card,Staff3,0,MEM00000,CONF56887,GBP,2.54,Discover,New Customer,CARD2517,London,0,Eligible,7
69,Shopify,PMT5521,01/09/2024 21:38,343.99,286.66,57.33,Zara,Completed,POS2,3,Cash,Staff3,0,MEM00000,CONF72193,GBP,6.8,Amex,New Customer,N/A,London,0,Eligible,7
70,Braintree,PMT6110,01/09/2024 21:43,256.98,214.15,42.83,Zara,Completed,POS1,3,Credit Card,Staff2,0,MEM00000,CONF37659,GBP,3.17,Discover,New Customer,CARD4066,London,0,Eligible,7
71,Shopify,PMT4942,01/09/2024 21:51,158.99,132.49,26.5,Zara,Completed,POS2,2,Debit Card,Staff1,15,MEM18549,CONF62187,GBP,4.37,MasterCard,Member,CARD2985,London,13,Eligible,7
72,Shopify,PMT6797,01/09/2024 22:01,578,481.67,96.33,Zara,Completed,POS1,2,Cash,Staff2,0,MEM00000,CONF15314,GBP,13.64,Discover,New Customer,N/A,London,0,Eligible,7
73,Shopify,PMT7118,01/09/2024 22:09,89.99,74.99,15,Zara,Completed,POS2,1,Credit Card,Staff4,0,MEM00000,CONF12047,GBP,2.09,MasterCard,New Customer,CARD8513,London,0,Eligible,7
74,Shopify,PMT7132,01/09/2024 22:19,737,614.17,122.83,Zara,Completed,POS3,3,Cash,Staff2,0,MEM00000,CONF85802,GBP,20.82,MasterCard,Returning Customer,N/A,London,0,Eligible,7
75,Shopify,PMT7048,01/09/2024 22:29,444.98,370.82,74.16,Zara,Completed,POS2,3,Debit Card,Staff3,0,MEM00000,CONF59796,GBP,12.76,Amex,New Customer,CARD5725,London,0,Eligible,7
76,Shopify,PMT9811,01/09/2024 22:35,258.98,215.82,43.16,Zara,Completed,POS1,3,Cash,Staff3,0,MEM81454,CONF19575,GBP,5.25,Discover,Member,N/A,London,21,Eligible,7
77,Braintree,PMT1775,01/09/2024 22:44,185.97,154.97,31,Zara,Completed,POS2,3,Debit Card,Staff1,0,MEM00000,CONF34057,GBP,3.92,MasterCard,New Customer,CARD2999,London,0,Eligible,7
78,WorldPay,PMT6371,01/09/2024 22:50,324.98,270.82,54.16,Zara,Completed,POS1,3,Credit Card,Staff4,0,MEM00000,CONF65824,GBP,6.6,Discover,New Customer,CARD5248,London,0,Eligible,7
79,Shopify,PMT3483,02/09/2024 09:00,144.99,120.83,24.16,Zara,Completed,POS1,2,Cash,Staff4,0,MEM00000,CONF90619,GBP,4.01,MasterCard,Returning Customer,N/A,London,0,Eligible,1
80,Shopify,PMT5256,02/09/2024 09:21,79.99,66.66,13.33,Zara,Completed,POS1,1,Cash,Staff4,0,MEM00000,CONF84755,GBP,1.4,MasterCard,Returning Customer,N/A,London,0,Eligible,1
81,Braintree,PMT5903,02/09/2024 09:44,95.98,79.98,16,Zara,Completed,POS3,2,Cash,Staff4,10,MEM11296,CONF52162,GBP,1.3,Visa,Member,N/A,London,7,Eligible,1
82,WorldPay,PMT2239,02/09/2024 10:03,162.98,135.82,27.16,Zara,Completed,POS3,3,Credit Card,Staff4,15,MEM32783,CONF79035,GBP,2.92,Discover,Member,CARD9940,London,13,Eligible,1
83,Shopify,PMT5056,02/09/2024 10:24,55.98,46.65,9.33,Zara,Cancelled,POS3,2,Cash,Staff1,0,MEM00000,CONF66764,GBP,1.36,Amex,Returning Customer,N/A,London,0,Eligible,1
84,Braintree,PMT3990,02/09/2024 10:42,143.97,119.98,23.99,Zara,Completed,POS1,3,Online,Staff4,0,MEM00000,CONF80473,GBP,3.24,Amex,New Customer,N/A,London,0,Eligible,1
85,WorldPay,PMT8396,02/09/2024 11:00,69.99,58.32,11.67,Zara,Completed,POS1,1,Cash,Staff4,5,MEM96569,CONF56506,GBP,1.69,MasterCard,Member,N/A,London,5,Eligible,1
86,Shopify,PMT7112,02/09/2024 11:18,179,149.17,29.83,Zara,Completed,POS1,1,Credit Card,Staff2,0,MEM00000,CONF52033,GBP,2.85,MasterCard,New Customer,CARD8015,London,0,Eligible,1
87,Braintree,PMT7510,02/09/2024 11:47,198.99,165.83,33.16,Zara,Completed,POS3,2,Cash,Staff4,10,MEM50249,CONF34756,GBP,3.11,Discover,Member,N/A,London,16,Eligible,1
88,WorldPay,PMT8685,02/09/2024 12:13,617,514.17,102.83,Zara,Completed,POS2,3,Debit Card,Staff4,15,MEM12343,CONF15026,GBP,8.58,MasterCard,Member,CARD9764,London,51,Eligible,1
89,Shopify,PMT3776,02/09/2024 12:23,444.99,370.83,74.16,Zara,Completed,POS2,2,Cash,Staff2,0,MEM00000,CONF88510,GBP,7.21,Visa,New Customer,N/A,London,0,Eligible,1
90,Shopify,PMT1291,02/09/2024 12:35,416.99,347.49,69.5,Zara,Cancelled,POS1,2,Debit Card,Staff1,0,MEM00000,CONF65578,GBP,12.18,MasterCard,New Customer,CARD4057,London,0,Eligible,1
91,WorldPay,PMT6505,02/09/2024 12:48,211.98,176.65,35.33,Zara,Completed,POS3,3,Cash,Staff2,0,MEM00000,CONF62547,GBP,2.83,Discover,New Customer,N/A,London,0,Eligible,1
92,Braintree,PMT4355,02/09/2024 13:00,35.98,29.98,6,Zara,Completed,POS3,2,Credit Card,Staff1,0,MEM00000,CONF61643,GBP,0.53,Discover,New Customer,CARD7493,London,0,Eligible,1
93,WorldPay,PMT1732,02/09/2024 13:10,303.99,253.33,50.66,Zara,Completed,POS3,3,Cash,Staff3,0,MEM00000,CONF39810,GBP,6.15,Amex,Returning Customer,N/A,London,0,Eligible,1
94,Braintree,PMT7272,02/09/2024 13:20,199.97,166.64,33.33,Zara,Completed,POS3,3,Credit Card,Staff3,0,MEM00000,CONF30829,GBP,4.31,Amex,New Customer,CARD4914,London,0,Eligible,1
95,Shopify,PMT2227,02/09/2024 13:30,79.99,66.66,13.33,Zara,Completed,POS1,1,Debit Card,Staff2,0,MEM00000,CONF81873,GBP,1.02,Visa,New Customer,CARD1705,London,0,Eligible,1
96,Shopify,PMT5305,02/09/2024 13:42,19.99,16.66,3.33,Zara,Completed,POS2,1,Cash,Staff4,0,MEM00000,CONF59282,GBP,0.59,Visa,New Customer,N/A,London,0,Eligible,1
97,WorldPay,PMT3396,02/09/2024 13:55,109,90.83,18.17,Zara,Completed,POS2,1,Cash,Staff2,15,MEM81474,CONF43279,GBP,1.84,MasterCard,Member,N/A,London,9,Eligible,1
98,WorldPay,PMT9284,02/09/2024 14:05,165.97,138.31,27.66,Zara,Completed,POS3,3,Debit Card,Staff1,0,MEM00000,CONF26376,GBP,2.34,Discover,New Customer,CARD9783,London,0,Eligible,1
99,WorldPay,PMT7147,02/09/2024 14:20,231.98,193.32,38.66,Zara,Completed,POS2,3,Cash,Staff3,0,MEM00000,CONF83309,GBP,6.2,Amex,New Customer,N/A,London,0,Eligible,1
100,WorldPay,PMT1327,02/09/2024 14:33,188.99,157.49,31.5,Zara,Completed,POS1,2,Credit Card,Staff4,0,MEM00000,CONF24030,GBP,4.2,Discover,New Customer,CARD4025,London,0,Eligible,1
101,Shopify,PMT3958,02/09/2024 14:45,59.99,49.99,10,Zara,Completed,POS1,1,Cash,Staff3,0,MEM00000,CONF52048,GBP,0.99,MasterCard,New Customer,N/A,London,0,Eligible,1
102,Shopify,PMT3153,02/09/2024 14:56,119,99.17,19.83,Zara,Completed,POS1,1,Cash,Staff3,0,MEM00000,CONF81007,GBP,2.84,Discover,Returning Customer,N/A,London,0,Eligible,1
103,WorldPay,PMT7907,02/09/2024 15:06,278.98,232.48,46.5,Zara,Completed,POS3,3,Cash,Staff3,0,MEM00000,CONF31941,GBP,7.73,Visa,New Customer,N/A,London,0,Eligible,1
104,Shopify,PMT3757,02/09/2024 15:18,112.98,94.15,18.83,Zara,Completed,POS1,2,Credit Card,Staff1,0,MEM00000,CONF90915,GBP,1.9,Visa,New Customer,CARD6398,London,0,Eligible,1
105,Shopify,PMT3961,02/09/2024 15:29,518,431.67,86.33,Zara,Completed,POS2,2,Credit Card,Staff1,0,MEM00000,CONF75596,GBP,9.88,MasterCard,New Customer,CARD6039,London,0,Eligible,1
106,WorldPay,PMT6001,02/09/2024 15:39,89.99,74.99,15,Zara,Completed,POS3,1,Online,Staff2,0,MEM84222,CONF77738,GBP,1,Amex,Member,N/A,London,7,Eligible,1
107,Braintree,PMT3323,02/09/2024 15:54,45.99,38.33,7.66,Zara,Completed,POS3,1,Debit Card,Staff1,0,MEM00000,CONF69481,GBP,0.79,MasterCard,New Customer,CARD8668,London,0,Eligible,1
108,WorldPay,PMT8918,02/09/2024 16:04,89.99,74.99,15,Zara,Cancelled,POS2,1,Online,Staff3,0,MEM00000,CONF39717,GBP,1.86,Visa,New Customer,N/A,London,0,Eligible,1
109,WorldPay,PMT7749,02/09/2024 16:16,238.99,199.16,39.83,Zara,Completed,POS1,2,Cash,Staff1,0,MEM00000,CONF14728,GBP,4.04,Amex,Returning Customer,N/A,London,0,Eligible,1
110,Shopify,PMT7119,02/09/2024 16:31,563.99,469.99,94,Zara,Completed,POS2,3,Debit Card,Staff4,0,MEM47497,CONF63326,GBP,8.47,Discover,Member,CARD5691,London,46,Eligible,1
111,Shopify,PMT2337,02/09/2024 16:45,112.98,94.15,18.83,Zara,Completed,POS1,2,Credit Card,Staff1,0,MEM00000,CONF54648,GBP,2.73,Amex,New Customer,CARD7300,London,0,Eligible,1
112,Shopify,PMT9487,02/09/2024 17:00,35.99,29.99,6,Zara,Completed,POS2,1,Online,Staff2,0,MEM00000,CONF36343,GBP,0.98,MasterCard,Returning Customer,N/A,London,0,Eligible,1
113,WorldPay,PMT7827,02/09/2024 17:09,125.98,104.98,21,Zara,Completed,POS2,2,Credit Card,Staff2,0,MEM00000,CONF42767,GBP,3.21,Amex,New Customer,CARD9339,London,0,Eligible,1
114,Shopify,PMT1947,02/09/2024 17:14,59.99,49.99,10,Zara,Completed,POS1,1,Cash,Staff4,15,MEM11872,CONF60525,GBP,1.16,Discover,Member,N/A,London,4,Eligible,1
115,WorldPay,PMT7335,02/09/2024 17:24,667,555.83,111.17,Zara,Completed,POS2,3,Credit Card,Staff2,10,MEM58175,CONF23106,GBP,16.86,Visa,Member,CARD5012,London,55,Eligible,1
116,Shopify,PMT7447,02/09/2024 17:31,231.98,193.32,38.66,Zara,Completed,POS2,3,Cash,Staff2,0,MEM00000,CONF16055,GBP,2.55,Visa,New Customer,N/A,London,0,Eligible,1
117,Braintree,PMT4517,02/09/2024 17:38,119,99.17,19.83,Zara,Completed,POS1,1,Cash,Staff3,10,MEM45502,CONF24115,GBP,2.6,Discover,Member,N/A,London,9,Eligible,1
118,Braintree,PMT3763,02/09/2024 17:48,129.98,108.32,21.66,Zara,Completed,POS2,2,Credit Card,Staff1,0,MEM00000,CONF72564,GBP,3.24,Discover,New Customer,CARD8266,London,0,Eligible,1
119,Braintree,PMT2075,02/09/2024 17:56,288,240,48,Zara,Completed,POS3,2,Cash,Staff4,15,MEM41219,CONF31750,GBP,6.45,Discover,Member,N/A,London,24,Eligible,1
120,WorldPay,PMT8943,02/09/2024 18:06,59.99,49.99,10,Zara,Completed,POS1,1,Cash,Staff1,15,MEM34678,CONF59922,GBP,1.27,Amex,Member,N/A,London,4,Eligible,1
121,Braintree,PMT5930,02/09/2024 18:13,149,124.17,24.83,Zara,Completed,POS2,1,Credit Card,Staff1,0,MEM00000,CONF76863,GBP,3.06,Visa,New Customer,CARD9813,London,0,Eligible,1
122,WorldPay,PMT6382,02/09/2024 18:23,275.99,229.99,46,Zara,Completed,POS3,3,Cash,Staff1,0,MEM00000,CONF56395,GBP,4.68,Visa,New Customer,N/A,London,0,Eligible,1
123,Braintree,PMT3740,02/09/2024 18:28,354.98,295.82,59.16,Zara,Completed,POS3,3,Credit Card,Staff1,0,MEM00000,CONF68775,GBP,3.79,Visa,New Customer,CARD3082,London,0,Eligible,1
124,Braintree,PMT4321,02/09/2024 18:36,355.99,296.66,59.33,Zara,Completed,POS3,3,Credit Card,Staff4,0,MEM00000,CONF11822,GBP,3.63,Visa,New Customer,CARD8026,London,0,Eligible,1
125,Braintree,PMT9540,02/09/2024 18:46,298.99,249.16,49.83,Zara,Completed,POS2,2,Cash,Staff2,0,MEM00000,CONF72610,GBP,4.2,MasterCard,Returning Customer,N/A,London,0,Eligible,1
126,WorldPay,PMT8647,02/09/2024 18:55,17.99,14.99,3,Zara,Completed,POS1,1,Cash,Staff4,0,MEM31587,CONF86654,GBP,0.54,Discover,Member,N/A,London,1,Eligible,1
127,Shopify,PMT7036,02/09/2024 19:01,128.99,107.49,21.5,Zara,Completed,POS2,2,Credit Card,Staff1,5,MEM30573,CONF16392,GBP,1.37,Discover,Member,CARD7243,London,10,Eligible,1
